CPNum,xAr,xBr,pA,pB,qA,qB
1,7,4,1.80%,3.20%,98.20%,96.80%
2,17,11,4.10%,5.60%,95.90%,94.40%
3,13,6,2.80%,3.60%,97.20%,96.40%
4,6,4,1.30%,2.40%,98.70%,97.60%
5,3,1,2.10%,4.10%,97.90%,95.90%
6,16,13,2.20%,3%,97.80%,97%
7,8,3,3.40%,6.70%,96.60%,93.30%
8,12,9,3.40%,3.70%,96.60%,96.30%
9,8,7,1.40%,2.20%,98.60%,97.80%
10,15,7,6.60%,11.50%,93.40%,88.50%
11,16,13,1.90%,2.60%,98.10%,97.40%
12,9,5,3.60%,6.10%,96.40%,93.90%
13,11,7,2.40%,3.20%,97.60%,96.80%
14,16,2,1.40%,2.30%,98.60%,97.70%
15,14,13,5.80%,6.80%,94.20%,93.20%
16,13,7,1.90%,2.40%,98.10%,97.60%
17,8,2,2.50%,4.50%,97.50%,95.50%
18,17,3,7.10%,10.50%,92.90%,89.50%
19,15,10,2%,2.90%,98%,97.10%
20,14,11,2.80%,3.90%,97.20%,96.10%
21,6,5,1%,1.40%,99%,98.60%
22,8,4,1.80%,3.10%,98.20%,96.90%
23,9,4,2.30%,3.70%,97.70%,96.30%
24,14,10,8.60%,10.30%,91.40%,89.70%
25,2,1,6.60%,8%,93.40%,92%
26,4,2,1.60%,3.20%,98.40%,96.80%
27,14,10,2.30%,2.90%,97.70%,97.10%
28,14,2,2.80%,4.50%,97.20%,95.50%
29,17,2,0.60%,1.30%,99.40%,98.70%
30,17,8,2.90%,4.60%,97.10%,95.40%
31,5,3,4.70%,8.10%,95.30%,91.90%
32,11,5,3.20%,6.40%,96.80%,93.60%
33,12,5,0.80%,1.40%,99.20%,98.60%
34,13,7,2%,2.90%,98%,97.10%
35,11,4,0.80%,1.70%,99.20%,98.30%
36,15,8,0.90%,1.10%,99.10%,98.90%
37,17,2,1.60%,3.70%,98.40%,96.30%
38,15,9,5.30%,5.90%,94.70%,94.10%
39,17,3,1.10%,2%,98.90%,98%
40,12,2,0.90%,1.70%,99.10%,98.30%
41,7,2,2.40%,3.10%,97.60%,96.90%
42,5,3,0.70%,1.20%,99.30%,98.80%
43,11,6,1.60%,2.10%,98.40%,97.90%
44,15,12,2.70%,3%,97.30%,97%
45,15,7,2.60%,4.70%,97.40%,95.30%
46,17,1,1%,2.10%,99%,97.90%
47,13,3,1%,1.80%,99%,98.20%
48,14,2,1%,1.70%,99%,98.30%
49,9,5,0.90%,1.70%,99.10%,98.30%
50,14,3,0.40%,0.90%,99.60%,99.10%
51,15,11,4.10%,6.70%,95.90%,93.30%
52,12,5,2.10%,4.20%,97.90%,95.80%
53,12,1,1.10%,1.90%,98.90%,98.10%
54,17,4,2.90%,5.80%,97.10%,94.20%
55,15,7,1.30%,2.50%,98.70%,97.50%
56,11,5,5.60%,8.60%,94.40%,91.40%
57,6,5,0.50%,0.70%,99.50%,99.30%
58,16,12,1.10%,2.20%,98.90%,97.80%
59,16,5,2.90%,4.60%,97.10%,95.40%
60,15,11,3.80%,7.30%,96.20%,92.70%
61,17,1,10%,5%,90%,95%
62,15,3,15.30%,9.10%,84.70%,90.90%
63,16,2,5.50%,2.30%,94.50%,97.70%
64,14,8,3.20%,0.40%,96.80%,99.60%
65,9,4,4.80%,1.50%,95.20%,98.50%
